,adjustment_method,empirical_fdr,num_rejections,empirical_power,testing_method,nonnull_type,regime_id,repetition_id,trial_id
0,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,0,0
1,Bonferroni,0.0,0.0,0.0,simes,self,0,0,0
2,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,1,1
3,Bonferroni,0.0,0.0,0.0,simes,self,0,1,1
4,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,2,2
5,Bonferroni,0.0,0.0,0.0,simes,self,0,2,2
6,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,3,3
7,Bonferroni,0.0,0.0,0.0,simes,self,0,3,3
8,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,4,4
9,Bonferroni,0.0,0.0,0.0,simes,self,0,4,4
10,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,5,5
11,Bonferroni,0.0,0.0,0.0,simes,self,0,5,5
12,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,6,6
13,Bonferroni,0.0,0.0,0.0,simes,self,0,6,6
14,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,7,7
15,Bonferroni,0.0,0.0,0.0,simes,self,0,7,7
16,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,8,8
17,Bonferroni,0.0,0.0,0.0,simes,self,0,8,8
18,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,0,9,9
19,Bonferroni,0.0,0.0,0.0,simes,self,0,9,9
20,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,0,10
21,Bonferroni,0.0,0.0,0.0,simes,self,1,0,10
22,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,1,11
23,Bonferroni,0.0,0.0,0.0,simes,self,1,1,11
24,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,2,12
25,Bonferroni,0.0,0.0,0.0,simes,self,1,2,12
26,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,3,13
27,Bonferroni,0.0,0.0,0.0,simes,self,1,3,13
28,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,4,14
29,Bonferroni,0.0,0.0,0.0,simes,self,1,4,14
30,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,5,15
31,Bonferroni,0.0,0.0,0.0,simes,self,1,5,15
32,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,6,16
33,Bonferroni,0.0,0.0,0.0,simes,self,1,6,16
34,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,7,17
35,Bonferroni,0.0,0.0,0.0,simes,self,1,7,17
36,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,8,18
37,Bonferroni,0.0,0.0,0.0,simes,self,1,8,18
38,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,1,9,19
39,Bonferroni,0.0,0.0,0.0,simes,self,1,9,19
40,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,2,0,20
41,Bonferroni,1.0,1.0,0.0,simes,self,2,0,20
42,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,2,1,21
43,Bonferroni,0.0,0.0,0.0,simes,self,2,1,21
44,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,2,2,22
45,Bonferroni,0.0,0.0,0.0,simes,self,2,2,22
46,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,2,3,23
47,Bonferroni,0.0,0.0,0.0,simes,self,2,3,23
48,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,2,4,24
49,Bonferroni,0.0,0.0,0.0,simes,self,2,4,24
50,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,2,5,25
51,Bonferroni,0.0,0.0,0.0,simes,self,2,5,25
52,Bonferroni,0.0,0.0,0.0,hypergeometric.ga,comp,2,6,26
53,Bonferroni,0.0,0.0,0.0,simes,self,2,6,26
