 ,10,20,30,40,50,60,70,80,90,100,110,120,
0,0,0.02,0.01,0.08,0.25,0.35,0.68,0.8,0.89,0.99,0.98,1,
1,0.01,0,0.04,0.02,0.07,0.12,0.22,0.4,0.42,0.53,0.63,0.8,
2,0,0,0,0,0,0,0,0.01,0,0,0,0,
3,0.02,0.02,0.11,0.26,0.5,0.67,0.91,0.97,0.98,1,1,1,
4,0.01,0,0.04,0.04,0.14,0.13,0.22,0.41,0.45,0.55,0.66,0.81,
5,0,0,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,0,0.01,
7,0,0,0.05,0.06,0.13,0.18,0.25,0.4,0.58,0.58,0.73,0.82,
8,0,0.01,0.03,0.04,0.13,0.22,0.24,0.42,0.48,0.61,0.69,0.8,
9,0,0.01,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,0,0,
11,0,0.01,0,0,0,0,0,0,0,0,0,0,
12,0,0,0,0,0.01,0,0,0,0,0,0,0,
13,0.01,0,0.01,0.02,0.1,0.12,0.14,0.25,0.32,0.34,0.5,0.55,
14,0,0,0,0,0,0,0,0,0,0,0,0.01,
15,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,0,0,
19,0,0.01,0.06,0.05,0.12,0.13,0.16,0.33,0.42,0.44,0.52,0.63,
20,0,0,0,0.07,0.09,0.17,0.2,0.25,0.44,0.44,0.58,0.57,
21,0,0,0,0,0,0,0,0,0.01,0,0,0,
22,0,0,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,0,0.01,
24,0.01,0.01,0.02,0.03,0.12,0.16,0.23,0.29,0.4,0.45,0.64,0.64,
25,0,0,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0.01,0,0,0,
27,0,0,0,0,0,0,0,0,0.01,0,0,0,
28,0.01,0.01,0.02,0.03,0.16,0.17,0.24,0.3,0.42,0.52,0.69,0.66,
29,0,0,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0.01,0,0,0,0,0,0.01,0,
31,0,0,0,0,0,0,0,0,0.01,0,0,0,
32,0,0,0,0,0,0,0,0,0,0,0,0,
33,0,0,0,0,0,0,0,0,0,0,0,0,
34,0,0,0,0,0,0,0,0,0,0,0,0,
35,0,0,0.01,0,0,0,0,0,0,0,0,0,
36,0,0,0,0,0,0,0,0,0,0,0,0,
37,0,0,0,0,0,0,0.01,0,0,0,0,0,
38,0,0,0,0.01,0,0.01,0,0.01,0.01,0,0,0,
39,0,0,0,0,0,0,0,0,0,0,0,0,
40,0,0.01,0.01,0.08,0.12,0.22,0.25,0.36,0.51,0.54,0.65,0.68,
41,0,0,0,0,0,0,0,0,0,0,0,0,
42,0,0,0,0,0,0,0,0,0,0,0,0,
43,0.03,0.16,0.33,0.66,0.95,0.99,0.99,1,1,1,1,1,
44,0,0,0,0,0,0,0,0,0,0,0,0,
45,0,0,0,0,0,0.01,0,0.01,0,0,0,0,
46,0,0,0,0,0,0.01,0,0,0,0,0,0,
47,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,
48,0,0,0.08,0.1,0.16,0.2,0.27,0.47,0.54,0.57,0.63,0.77,
49,0,0,0,0,0,0,0,0,0,0,0,0,
50,0,0,0,0,0,0,0,0,0,0,0,0,
51,0,0,0.01,0,0,0,0,0,0,0.01,0,0,
52,0,0,0,0,0.01,0,0,0,0,0,0,0,
53,0,0,0,0,0,0,0,0,0,0,0,0,
54,0,0.01,0,0,0.01,0,0,0,0,0,0,0,
55,0,0,0,0,0,0,0,0.01,0,0,0,0,
56,0,0,0,0,0,0,0,0,0,0,0,0,
57,0,0,0.01,0.01,0,0,0.01,0,0,0,0.01,0,
58,0,0,0,0,0.01,0,0,0,0,0,0.02,0,
59,0,0,0,0,0,0,0,0,0,0,0,0,
60,0,0,0,0,0,0,0,0,0,0,0,0,
61,0,0,0,0,0,0,0,0,0,0,0,0.01,
62,0,0,0,0,0,0,0,0,0.01,0,0,0,
63,0,0,0,0,0,0,0,0,0,0,0,0,
64,0,0,0,0,0,0,0,0,0,0,0,0,
65,0,0,0,0,0.01,0,0,0,0,0,0,0.01,
66,0,0,0,0,0,0,0,0,0,0,0,0,
67,0.01,0,0,0,0,0,0,0,0,0,0,0,
68,0,0,0,0,0,0,0,0,0,0,0.01,0,
69,0,0.02,0.02,0.15,0.19,0.32,0.36,0.55,0.57,0.68,0.73,0.77,
70,0,0,0.01,0,0,0,0,0,0,0,0,0,
71,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,
72,0,0,0,0,0,0,0,0,0,0,0,0,
73,0,0,0,0,0,0,0,0,0.01,0,0,0,
74,0,0,0,0.01,0,0,0,0,0,0,0,0,
75,0,0,0,0,0,0,0,0,0,0,0.01,0,
76,0,0,0,0,0,0,0,0,0,0,0.01,0,
77,0,0,0,0,0,0,0,0,0,0,0,0,
78,0,0,0,0,0,0,0,0,0,0,0.02,0,
79,0,0,0,0,0,0,0,0,0,0,0,0,
80,0.01,0,0,0,0,0,0,0,0,0,0,0,
