 ,10,20,30,40,50,60,70,80,90,100,110,120,
0,0.01,0.02,0.11,0.27,0.61,0.78,0.91,0.98,0.99,1,1,1,
1,0.01,0.02,0.08,0.11,0.28,0.31,0.47,0.64,0.77,0.84,0.87,0.88,
2,0,0.02,0.01,0,0.01,0,0,0.04,0,0.01,0.01,0,
3,0.03,0.05,0.24,0.44,0.81,0.92,0.97,1,1,1,1,1,
4,0.01,0.02,0.09,0.11,0.3,0.36,0.5,0.67,0.79,0.87,0.9,0.89,
5,0,0,0.01,0,0.01,0.03,0,0.03,0.02,0.01,0.04,0.02,
6,0,0.01,0,0.01,0,0.02,0,0.03,0.02,0.02,0.05,0.04,
7,0,0.01,0.09,0.15,0.31,0.39,0.55,0.7,0.78,0.81,0.91,0.96,
8,0,0.02,0.03,0.11,0.26,0.49,0.54,0.71,0.84,0.89,0.94,0.94,
9,0,0.01,0.01,0,0.02,0.03,0,0,0,0.04,0.04,0.05,
10,0,0,0,0,0.02,0.01,0.01,0.04,0,0.01,0.02,0.04,
11,0,0.01,0.01,0,0.02,0.03,0,0,0,0.06,0.03,0.03,
12,0,0,0,0,0.02,0.04,0.01,0.02,0.01,0.02,0.08,0.02,
13,0.01,0.02,0.04,0.06,0.21,0.29,0.37,0.51,0.58,0.7,0.81,0.78,
14,0,0,0,0,0,0.03,0.01,0.01,0.01,0,0.01,0.03,
15,0,0.01,0.01,0.01,0.02,0,0.01,0.02,0.01,0.01,0.04,0.03,
16,0,0,0.01,0,0,0.01,0,0,0,0.01,0.02,0.01,
17,0,0,0,0,0,0.03,0,0.02,0,0.02,0.08,0.02,
18,0,0,0.01,0,0.02,0,0,0.02,0,0.01,0.04,0.02,
19,0.01,0.01,0.07,0.12,0.21,0.34,0.42,0.59,0.67,0.73,0.71,0.81,
20,0.01,0.01,0.02,0.11,0.19,0.35,0.4,0.61,0.62,0.73,0.81,0.86,
21,0,0,0,0,0,0,0.01,0.02,0.02,0.02,0,0.01,
22,0,0.01,0.01,0.01,0.02,0.02,0,0.01,0.01,0.01,0.02,0,
23,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0,0,0.06,
24,0.02,0.03,0.06,0.11,0.29,0.41,0.44,0.6,0.73,0.74,0.84,0.8,
25,0,0,0,0.01,0.02,0,0.04,0.01,0,0.01,0.01,0.02,
26,0,0,0.01,0.01,0,0.01,0,0.01,0.03,0.01,0.01,0.01,
27,0.01,0,0,0.02,0,0.01,0.01,0.02,0.04,0.02,0.04,0.01,
28,0.02,0.03,0.06,0.11,0.29,0.39,0.44,0.62,0.74,0.75,0.84,0.82,
29,0.01,0,0,0,0,0,0.01,0.01,0.02,0,0.03,0,
30,0.01,0.01,0,0,0.01,0.03,0.02,0.01,0.02,0.06,0.02,0.03,
31,0,0,0,0,0,0.01,0,0,0.01,0,0.02,0.02,
32,0,0,0,0,0.01,0.01,0,0.02,0.01,0.04,0.01,0.02,
33,0.01,0,0,0.01,0.03,0.02,0,0.02,0.01,0.04,0.02,0.03,
34,0,0.01,0,0,0,0.01,0,0,0,0.04,0.02,0.04,
35,0.01,0,0.01,0,0.01,0.02,0,0.01,0.04,0.01,0.01,0.01,
36,0,0,0.01,0,0,0.01,0.01,0.02,0.01,0.04,0.01,0.06,
37,0,0,0.01,0,0,0.01,0.02,0,0,0,0.01,0.01,
38,0,0,0,0.02,0.01,0.05,0.02,0.04,0.02,0.06,0.01,0.02,
39,0.01,0.01,0,0.03,0.01,0.01,0,0.02,0.02,0.01,0,0.04,
40,0,0.02,0.03,0.15,0.23,0.4,0.45,0.69,0.74,0.81,0.84,0.88,
41,0,0,0,0,0.01,0.03,0,0.01,0.03,0,0.01,0,
42,0,0,0.01,0.01,0.04,0.02,0.01,0.03,0.02,0.01,0.02,0.02,
43,0.03,0.21,0.42,0.79,0.97,0.99,0.99,1,1,1,1,1,
44,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,
45,0,0,0.01,0,0.02,0.03,0.04,0.01,0.03,0.02,0.03,0.01,
46,0.01,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0.02,
47,0,0,0.01,0.01,0,0.02,0.01,0.01,0.05,0.02,0.03,0.02,
48,0,0.01,0.11,0.19,0.39,0.47,0.52,0.71,0.77,0.79,0.81,0.91,
49,0,0.01,0,0,0,0.01,0.01,0.01,0.05,0.02,0.02,0.01,
50,0,0,0.02,0,0,0.02,0.01,0,0.02,0.03,0,0.03,
51,0,0,0.01,0,0.01,0.02,0,0.02,0.05,0.04,0,0.02,
52,0,0,0,0.01,0.01,0,0.01,0.02,0,0.02,0.03,0.01,
53,0.01,0,0,0,0.01,0.02,0,0,0.02,0,0.01,0.01,
54,0,0.02,0,0,0.01,0.01,0,0.01,0.02,0.02,0.02,0.02,
55,0,0.01,0.02,0,0,0.01,0.01,0.02,0.03,0.01,0.01,0.01,
56,0,0,0,0.01,0.02,0.03,0.01,0.03,0.01,0.04,0.01,0.02,
57,0,0,0.01,0.03,0.03,0.03,0.01,0.01,0.02,0.02,0.05,0.01,
58,0,0.01,0,0.02,0.03,0.01,0,0.02,0.01,0.01,0.05,0.01,
59,0,0,0,0.01,0,0,0,0.02,0.01,0,0.04,0.03,
60,0,0,0.01,0,0.02,0,0.03,0.02,0.04,0.02,0,0.01,
61,0,0,0.01,0.01,0,0.01,0,0.01,0.02,0,0.01,0.03,
62,0,0,0,0.01,0.03,0,0,0.01,0.02,0.02,0.05,0.02,
63,0,0,0,0.01,0.02,0,0.01,0.01,0.02,0.03,0.02,0.01,
64,0,0.01,0,0.02,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,
65,0,0,0,0,0.01,0.01,0,0.02,0,0.03,0.02,0.02,
66,0,0,0,0,0,0.01,0,0.01,0.04,0.02,0.01,0.02,
67,0.01,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0,0,
68,0,0,0,0,0,0,0.01,0.03,0.01,0.01,0.01,0.02,
69,0,0.02,0.04,0.21,0.35,0.51,0.63,0.78,0.81,0.91,0.93,0.96,
70,0,0,0.01,0,0,0.01,0.01,0.01,0,0.01,0.01,0.01,
71,0,0,0.01,0.01,0,0.01,0.04,0.01,0.02,0.04,0.03,0.01,
72,0,0,0,0.02,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,
73,0,0,0,0.02,0.01,0.02,0,0,0.01,0.03,0.01,0.01,
74,0,0,0,0.02,0,0.01,0.02,0.01,0,0.01,0.03,0.01,
75,0.01,0,0,0,0.02,0.03,0.03,0.02,0.02,0.03,0.06,0.01,
76,0.01,0,0,0,0.02,0.03,0.02,0.02,0.01,0,0.03,0.01,
77,0,0,0.01,0,0,0.01,0,0.01,0,0.01,0,0,
78,0,0,0,0.01,0.03,0.02,0,0.01,0,0.01,0.04,0.02,
79,0,0,0.01,0,0.01,0.01,0,0,0.02,0.04,0.02,0.01,
80,0.01,0,0,0.01,0.01,0.01,0,0.01,0.03,0.01,0,0.02,
81,0,0,0,0.01,0.02,0.04,0.01,0.01,0.01,0.01,0.02,0.03,
82,0,0.01,0.01,0.02,0.01,0.02,0,0.02,0.01,0.01,0.04,0.01,
83,0,0,0,0,0.03,0.01,0.01,0.01,0,0,0,0.02,
