 ,adjustment_method,empirical_fdr,num_rejections,empirical_power,testing_method,nonnull_type,regime_id,repetition_id,trial_id
4659,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,64,1164
4660, BH , 0,16,1 , simes,self,11,65,1165
4661,Bonferroni,0,11,0.6875 , simes,self,11,65,1165
4662,BH,0,2,0.166667 , hypergeometric.ga,comp,11,65,1165
4663,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,65,1165
4664, BH , 0.0625,16,0.9375 , simes,self,11,66,1166
4665,Bonferroni,0,14,0.875 , simes,self,11,66,1166
4666,BH,0,2,0.166667 , hypergeometric.ga,comp,11,66,1166
4667,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,66,1166
4668, BH , 0.0588235,17,1 , simes,self,11,67,1167
4669,Bonferroni,0,15,0.9375 , simes,self,11,67,1167
4670,BH,0,2,0.166667 , hypergeometric.ga,comp,11,67,1167
4671,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,67,1167
4672, BH , 0.2,20,1 , simes,self,11,68,1168
4673,Bonferroni,0,13,0.8125 , simes,self,11,68,1168
4674,BH,0,2,0.166667 , hypergeometric.ga,comp,11,68,1168
4675,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,68,1168
4676, BH , 0.2,20,1 , simes,self,11,69,1169
4677,Bonferroni,0.0588235,17,1 , simes,self,11,69,1169
4678,BH,0,2,0.166667 , hypergeometric.ga,comp,11,69,1169
4679,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,69,1169
4680, BH , 0.157895,19,1 , simes,self,11,70,1170
4681,Bonferroni,0,16,1 , simes,self,11,70,1170
4682,BH,0,2,0.166667 , hypergeometric.ga,comp,11,70,1170
4683,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,70,1170
4684, BH , 0.0588235,17,1 , simes,self,11,71,1171
4685,Bonferroni,0,10,0.625 , simes,self,11,71,1171
4686,BH,0,2,0.166667 , hypergeometric.ga,comp,11,71,1171
4687,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,71,1171
4688, BH , 0,15,0.9375 , simes,self,11,72,1172
4689,Bonferroni,0,11,0.6875 , simes,self,11,72,1172
4690,BH,0,2,0.166667 , hypergeometric.ga,comp,11,72,1172
4691,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,72,1172
4692, BH , 0.125,16,0.875 , simes,self,11,73,1173
4693,Bonferroni,0,13,0.8125 , simes,self,11,73,1173
4694,BH,0,2,0.166667 , hypergeometric.ga,comp,11,73,1173
4695,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,73,1173
4696, BH , 0.111111,18,1 , simes,self,11,74,1174
4697,Bonferroni,0,15,0.9375 , simes,self,11,74,1174
4698,BH,0,2,0.166667 , hypergeometric.ga,comp,11,74,1174
4699,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,74,1174
4700, BH , 0,16,1 , simes,self,11,75,1175
4701,Bonferroni,0,15,0.9375 , simes,self,11,75,1175
4702,BH,0,2,0.166667 , hypergeometric.ga,comp,11,75,1175
4703,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,75,1175
4704, BH , 0,16,1 , simes,self,11,76,1176
4705,Bonferroni,0,13,0.8125 , simes,self,11,76,1176
4706,BH,0,2,0.166667 , hypergeometric.ga,comp,11,76,1176
4707,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,76,1176
4708, BH , 0.117647,17,0.9375 , simes,self,11,77,1177
4709,Bonferroni,0,13,0.8125 , simes,self,11,77,1177
4710,BH,0,2,0.166667 , hypergeometric.ga,comp,11,77,1177
4711,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,77,1177
4712, BH , 0,8,0.5 , simes,self,11,78,1178
4713,Bonferroni,0,5,0.3125 , simes,self,11,78,1178
4714,BH,0,1,0.0833333 , hypergeometric.ga,comp,11,78,1178
4715,Bonferroni,0,1,0.0833333 , hypergeometric.ga,comp,11,78,1178
4716, BH , 0.0588235,17,1 , simes,self,11,79,1179
4717,Bonferroni,0,16,1 , simes,self,11,79,1179
4718,BH,0,2,0.166667 , hypergeometric.ga,comp,11,79,1179
4719,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,79,1179
4720, BH , 0.111111,18,1 , simes,self,11,80,1180
4721,Bonferroni,0,15,0.9375 , simes,self,11,80,1180
4722,BH,0,2,0.166667 , hypergeometric.ga,comp,11,80,1180
4723,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,80,1180
4724, BH , 0.157895,19,1 , simes,self,11,81,1181
4725,Bonferroni,0,15,0.9375 , simes,self,11,81,1181
4726,BH,0,2,0.166667 , hypergeometric.ga,comp,11,81,1181
4727,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,81,1181
4728, BH , 0,11,0.6875 , simes,self,11,82,1182
4729,Bonferroni,0,9,0.5625 , simes,self,11,82,1182
4730,BH,0,2,0.166667 , hypergeometric.ga,comp,11,82,1182
4731,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,82,1182
4732, BH , 0.0588235,17,1 , simes,self,11,83,1183
4733,Bonferroni,0,14,0.875 , simes,self,11,83,1183
4734,BH,0,2,0.166667 , hypergeometric.ga,comp,11,83,1183
4735,Bonferroni,0,2,0.166667 , hypergeometric.ga,comp,11,83,1183
